cats	Index	Forms	Notes_id	Dutch	English	Indonesian	v1894	v1904/1911	v1931	Swadesh	Swadesh_orig	remark	nt_form	nt_eng	nt_idn	nt_pos	nt_comment	nt_pc	Concepticon_Gloss	Concepticon_ID	concept_url
the Nias 1905 list	1	boto	NA	lichaam	body	badan, tubuh	4	4	1	FALSE									BODY	1480	https://concepticon.clld.org/parameters/1480
the Nias 1905 list	2	ho̠go̠	NA	hoofd	head	kepala	5	5	2	TRUE									HEAD	1256	https://concepticon.clld.org/parameters/1256
the Nias 1905 list	3	bawa	NA	gezicht, aangezicht	face	muka, wajah	6	6	3	FALSE									FACE	1560	https://concepticon.clld.org/parameters/1560
the Nias 1905 list	4	àngangō	NA	voorhoofd	forehead	dahi	24	25	4	FALSE									FOREHEAD	123	https://concepticon.clld.org/parameters/123
the Nias 1905 list	5	to̠la ho̠go̠	NA	schedel	skull	tempurung kepala	26	27	5	FALSE									SKULL	1605	https://concepticon.clld.org/parameters/1605
the Nias 1905 list	6	boe	NA	hoofdhaar	hair	rambut	72	73	6	TRUE									HAIR	1040	https://concepticon.clld.org/parameters/1040
the Nias 1905 list	8	alizoezoe	NA	kruin (v.h.hoofd)	crown	hulu kepala	7	7	8	FALSE									CROWN (OF HEAD)	1943	https://concepticon.clld.org/parameters/1943
the Nias 1905 list	9	talīnga	NA	oor	ear	telinga	8	8	9	TRUE									EAR	1247	https://concepticon.clld.org/parameters/1247
the Nias 1905 list	11	ho̠ro̠	NA	oog	eye	mata	9	9	11	TRUE									EYE	1248	https://concepticon.clld.org/parameters/1248
the Nias 1905 list	15	boe ro̠ngo̠	NA	wenkbrauw	eyebrow	alis (tunggal)	25	26	-	FALSE									EYEBROW	1173	https://concepticon.clld.org/parameters/1173
the Nias 1905 list	17	īdano̠ ho̠ro̠	NA	traan	tear	air mata (tunggal)	10	10	-	FALSE									TEAR (OF EYE)	1651	https://concepticon.clld.org/parameters/1651
the Nias 1905 list	18	īchoe	NA	neus	nose	hidung	11	11	16	TRUE									NOSE	1221	https://concepticon.clld.org/parameters/1221
the Nias 1905 list	20	īngo	NA	snot	mucus	ingus	-	12	18	FALSE									NASAL MUCUS (SNOT)	208	https://concepticon.clld.org/parameters/208
the Nias 1905 list	21	bo'o̠	NA	wang	cheek	pipi	23	24	19	FALSE									CHEEK	1730	https://concepticon.clld.org/parameters/1730
the Nias 1905 list	22	bawa	NA	mond	mouth	mulut	12	13	-	TRUE									MOUTH	674	https://concepticon.clld.org/parameters/674
the Nias 1905 list	25	bēwē	1	lippen	lips	bibir (jamak)	13	14	-	FALSE			bēwē tano̠jawa	upper lip	bibir atas	noun			LIP	478	https://concepticon.clld.org/parameters/478
the Nias 1905 list	25	bēwē	1	lippen	lips	bibir (jamak)	13	14	-	FALSE			bēwē tano̠tōoe	lower lip	bibir bawah	noun			LIP	478	https://concepticon.clld.org/parameters/478
the Nias 1905 list	27	boe'mbēwē	NA	knevel	moustache	kumis	21	22	23	FALSE									MOUSTACHE	1165	https://concepticon.clld.org/parameters/1165
the Nias 1905 list	28	gambi	NA	sik	goatee	janggut seperti, janggut kambing	22	23	-	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678
the Nias 1905 list	29	to̠mba	NA	kin	chin	dagu	19	20	24	FALSE									CHIN	1510	https://concepticon.clld.org/parameters/1510
the Nias 1905 list	30	ro̠ngo̠	NA	baard	beard	janggut	20	21	25	FALSE									BEARD	678	https://concepticon.clld.org/parameters/678
the Nias 1905 list	31	lēla	NA	tong	tongue	lidah	15	16	26	TRUE									TONGUE	1205	https://concepticon.clld.org/parameters/1205
the Nias 1905 list	32	araro	NA	verhemelte	palate	langit-langit	16	17	27	FALSE									PALATE	540	https://concepticon.clld.org/parameters/540
the Nias 1905 list	34	bōha	NA	kies	molar	geraham	18	19	29	FALSE									MOLAR TOOTH	1049	https://concepticon.clld.org/parameters/1049
the Nias 1905 list	33/35	ngingi	NA	tand (tandvlees) <unsp.>			17	18	-	FALSE									NA	NA	NA
the Nias 1905 list	37	to̠to̠lo̠	NA	keel	throat	kerongkongan	14	15	32	FALSE									THROAT	1346	https://concepticon.clld.org/parameters/1346
the Nias 1905 list	38	bagi	NA	hals	neck	leher	27	28	33	TRUE									NECK	1333	https://concepticon.clld.org/parameters/1333
